"subj","trial","targSide","RT","acc","block","incentive"
"131",2,35,"heterogenous",18.096,0,"1","f"
"132",2,36,"absent",13.676,1,"1","f"
"133",2,37,"homogenous",1.641,1,"1","f"
"134",2,38,"homogenous",1.299,1,"1","f"
"135",2,39,"heterogenous",14.646,1,"1","f"
"136",2,40,"absent",5.303,1,"1","f"
"137",2,41,"absent",14.167,1,"1","f"
"138",2,42,"heterogenous",9.865,0,"1","f"
"139",2,43,"absent",15.048,1,"1","f"
"140",2,44,"homogenous",1.771,1,"1","f"
"141",2,45,"absent",13.525,1,"1","f"
"142",2,46,"absent",18.33,1,"1","f"
"143",2,47,"homogenous",1.374,1,"1","f"
"144",2,48,"heterogenous",19.157,0,"1","f"
"145",2,49,"homogenous",1.611,1,"1","f"
"146",2,50,"absent",23.064,0,"1","f"
"147",2,51,"absent",14.739,1,"1","f"
"148",2,52,"heterogenous",12.035,1,"1","f"
"149",2,53,"absent",16.956,1,"1","f"
"150",2,54,"absent",14.327,1,"1","f"
"151",2,55,"absent",15.167,1,"1","f"
"152",2,56,"absent",11.559,1,"1","f"
"153",2,57,"absent",13.459,1,"1","f"
"154",2,58,"homogenous",1.411,1,"1","f"
"155",2,59,"heterogenous",4.71,1,"1","f"
"156",2,60,"absent",14.435,1,"1","f"
"157",2,61,"heterogenous",9.114,0,"1","f"
"158",2,62,"absent",17.814,1,"1","f"
"159",2,63,"heterogenous",5.425,1,"1","f"
"160",2,64,"absent",21.86,1,"1","f"
"161",2,65,"absent",10.527,1,"1","f"
"162",2,66,"absent",11.396,1,"1","f"
"163",2,67,"absent",11.523,1,"1","f"
"164",2,68,"absent",10.681,1,"1","f"
"165",2,69,"homogenous",1.072,1,"1","f"
"166",2,70,"heterogenous",9.109,1,"1","f"
"167",2,71,"homogenous",1.119,1,"1","f"
"168",2,72,"absent",8.832,1,"1","f"
"169",2,73,"absent",10.222,1,"1","f"
"170",2,74,"absent",10.716,1,"1","f"
"171",2,75,"absent",12.369,1,"1","f"
"172",2,76,"absent",10.664,1,"1","f"
"173",2,77,"homogenous",1.114,1,"1","f"
"174",2,79,"heterogenous",12.908,0,"1","f"
"175",2,80,"absent",15.337,1,"1","f"
"176",2,81,"heterogenous",10.447,0,"1","f"
"177",2,82,"absent",11.698,1,"1","f"
"178",2,83,"absent",7.952,1,"1","f"
"179",2,84,"heterogenous",13.309,0,"1","f"
"180",2,85,"absent",16.436,1,"1","f"
"181",2,86,"homogenous",1.011,1,"1","f"
"182",2,87,"homogenous",1.077,1,"1","f"
"183",2,88,"heterogenous",11.3,1,"1","f"
"184",2,89,"homogenous",0.971,1,"1","f"
"185",2,90,"heterogenous",11.44,0,"1","f"
"186",2,91,"absent",11.466,1,"1","f"
"187",2,92,"homogenous",0.904,1,"1","f"
"188",2,93,"homogenous",0.947,1,"1","f"
"189",2,94,"heterogenous",12.009,0,"1","f"
"190",2,95,"absent",12.662,1,"1","f"
"191",2,96,"heterogenous",5.383,1,"1","f"
"192",3,1,"heterogenous",15.196,1,"1","f"
"193",3,2,"absent",9.514,0,"1","f"
"194",3,3,"absent",4.305,0,"1","f"
"195",3,4,"homogenous",2.874,1,"1","f"
"196",3,5,"absent",27.732,1,"1","f"
"197",3,6,"homogenous",2.251,1,"1","f"
"198",3,7,"absent",28.347,1,"1","f"
"199",3,8,"heterogenous",16.408,1,"1","f"
"200",3,9,"heterogenous",12.896,1,"1","f"
"201",3,10,"heterogenous",17.883,1,"1","f"
"202",3,11,"homogenous",1.696,1,"1","f"
"203",3,12,"heterogenous",10.051,1,"1","f"
"204",3,13,"absent",2.849,0,"1","f"
"205",3,14,"homogenous",1.744,1,"1","f"
"206",3,15,"homogenous",1.176,1,"1","f"
"207",3,16,"absent",12.126,0,"1","f"
"208",3,17,"heterogenous",10.892,1,"1","f"
"209",3,18,"absent",18.063,1,"1","f"
"210",3,19,"absent",11.391,0,"1","f"
"211",3,20,"heterogenous",22.553,1,"1","f"
"212",3,21,"absent",15.247,0,"1","f"
"213",3,22,"absent",25.001,1,"1","f"
"214",3,23,"absent",11.061,1,"1","f"
"215",3,24,"absent",11.669,0,"1","f"
"216",3,25,"absent",20.073,1,"1","f"
"217",3,26,"absent",15.432,1,"1","f"
"218",3,27,"heterogenous",8.777,1,"1","f"
"219",3,28,"heterogenous",3.05,1,"1","f"
"220",3,29,"absent",19.1,0,"1","f"
"221",3,30,"absent",9.376,1,"1","f"
"222",3,31,"homogenous",2.093,1,"1","f"
"223",3,32,"absent",26.169,1,"1","f"
"224",3,33,"homogenous",1.415,1,"1","f"
"225",3,34,"absent",8.323,1,"1","f"
"226",3,35,"homogenous",1.225,1,"1","f"
"227",3,36,"absent",8.582,0,"1","f"
"228",3,37,"homogenous",1.214,1,"1","f"
"229",3,38,"absent",8.145,1,"1","f"
"230",3,39,"absent",11.084,1,"1","f"
"231",3,40,"absent",11.806,1,"1","f"
"232",3,41,"heterogenous",10.192,0,"1","f"
"233",3,42,"homogenous",1.137,1,"1","f"
"234",3,43,"homogenous",1.054,1,"1","f"
"235",3,44,"homogenous",1.673,1,"1","f"
"236",3,45,"absent",18.736,1,"1","f"
"237",3,46,"heterogenous",3.184,0,"1","f"
"238",3,47,"absent",11.963,0,"1","f"
"239",3,48,"heterogenous",6.824,0,"1","f"
"240",3,49,"absent",24.834,1,"1","f"
"241",3,50,"heterogenous",8.793,1,"1","f"
"242",3,51,"heterogenous",17.243,0,"1","f"
"243",3,52,"homogenous",1.06,1,"1","f"
"244",3,53,"absent",19.68,1,"1","f"
"245",3,54,"heterogenous",16.038,0,"1","f"
"246",3,55,"absent",7.649,1,"1","f"
"247",3,56,"absent",13.595,1,"1","f"
"248",3,57,"homogenous",1.073,1,"1","f"
"249",3,58,"homogenous",1.261,1,"1","f"
"250",3,59,"absent",15.959,0,"1","f"
"251",3,60,"absent",3.597,0,"1","f"
"252",3,61,"homogenous",0.978,1,"1","f"
"253",3,62,"absent",9.113,1,"1","f"
"254",3,63,"homogenous",0.925,1,"1","f"
"255",3,64,"absent",10.105,1,"1","f"
"256",3,65,"homogenous",0.985,1,"1","f"
"257",3,66,"absent",10.73,1,"1","f"
"258",3,67,"absent",13.152,1,"1","f"
"259",3,68,"heterogenous",25.482,0,"1","f"
"260",3,69,"absent",19.272,1,"1","f"
"261",3,70,"homogenous",1.071,1,"1","f"
"262",3,71,"heterogenous",15.318,0,"1","f"
"263",3,72,"absent",20.217,1,"1","f"
"264",3,73,"absent",27.287,1,"1","f"
"265",3,74,"absent",19.291,1,"1","f"
"266",3,75,"absent",25.129,1,"1","f"
"267",3,76,"absent",10.289,1,"1","f"
"268",3,77,"absent",20.186,1,"1","f"
"269",3,78,"heterogenous",16.278,0,"1","f"
"270",3,79,"homogenous",1.392,1,"1","f"
"271",3,80,"heterogenous",8.983,0,"1","f"
"272",3,81,"homogenous",1.198,1,"1","f"
"273",3,82,"heterogenous",19.552,0,"1","f"
"274",3,83,"homogenous",1.11,1,"1","f"
"275",3,84,"heterogenous",15.334,0,"1","f"
"276",3,85,"homogenous",1.092,1,"1","f"
"277",3,86,"absent",31.522,1,"1","f"
"278",3,87,"absent",24.339,1,"1","f"
"279",3,88,"absent",12.778,1,"1","f"
"280",3,89,"heterogenous",16.459,1,"1","f"
"281",3,90,"heterogenous",16.578,0,"1","f"
"282",3,91,"absent",0.529,0,"1","f"
"283",3,92,"absent",23.959,1,"1","f"
"284",3,93,"absent",18.683,1,"1","f"
"285",3,94,"absent",26.139,1,"1","f"
"286",3,95,"homogenous",1.385,1,"1","f"
"287",3,96,"heterogenous",15.253,1,"1","f"
"288",4,1,"absent",1.177,0,"1","r"
"289",4,2,"absent",1.391,0,"1","r"
"290",4,3,"homogenous",1.722,1,"1","r"
"291",4,4,"homogenous",1.209,1,"1","r"
"292",4,5,"absent",1.688,1,"1","r"
"293",4,6,"absent",1.161,0,"1","r"
"294",4,7,"heterogenous",2.232,1,"1","r"
"295",4,8,"heterogenous",2.209,0,"1","r"
"296",4,9,"absent",1.134,0,"1","r"
"297",4,10,"absent",1.819,0,"1","r"
"298",4,11,"homogenous",4.67,1,"1","r"
"299",4,12,"heterogenous",2.207,1,"1","r"
"300",4,13,"absent",1.942,0,"1","r"
"301",4,14,"absent",3.034,0,"1","r"
"302",4,15,"absent",1.613,0,"1","r"
"303",4,16,"heterogenous",2.288,1,"1","r"
"304",4,17,"absent",1.91,0,"1","r"
"305",4,18,"homogenous",5.629,1,"1","r"
"306",4,19,"homogenous",3.137,0,"1","r"
"307",4,20,"absent",1.946,0,"1","r"
"308",4,21,"absent",1.963,0,"1","r"
"309",4,22,"absent",3.132,0,"1","r"
"310",4,23,"homogenous",3.012,0,"1","r"
"311",4,24,"absent",2.405,0,"1","r"
"312",4,25,"homogenous",3.682,1,"1","r"
"313",4,26,"homogenous",1.448,1,"1","r"
"314",4,27,"heterogenous",2.353,1,"1","r"
"315",4,28,"homogenous",1.546,1,"1","r"
